source_type,platform,week_folder,week_number,user_folder,user_number,playlist_file,playlist_name,playlist_position,track_id,track_name,artist_name,popularity_metric,popularity_value,popularity_log10,percentile_within_original_distribution,ratio_to_original_median,log10_delta_from_original_median,captured_at_utc,video_or_track_type,metadata_error
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,8,3tuCmmn6JmRXPln2Zt7KyI,Brothers Of Metal (Part 1),Manowar,spotify_artist_monthly_listeners,1036187,6.0154381,73.333333,35.721348,1.5529278,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,9,00npmhc8GChWQcovg8W6D5,Riding the Storm (Reworked version 2003) (2017 Remaster),Running Wild,spotify_artist_monthly_listeners,105505,5.023273,60,3.6371628,0.56076274,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,10,6V8vNnVazB8BtWFbZuxJrZ,Dark Saga,Iced Earth,spotify_artist_monthly_listeners,220275,5.3429652,66.666667,7.5937258,0.88045491,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,11,0Ot7wMcgFkhuz1dd0d2PMy,City of Heroes,Michael Kiske & Amanda Somerville,spotify_artist_monthly_listeners,25289,4.4029317,43.333333,0.87180901,-0.059578644,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,12,1OMplIvNpCVCYirUTXF07d,Together We Rise,Wind Rose,spotify_artist_monthly_listeners,708229,5.8501737,70,24.415375,1.3876634,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,13,7kYViSgnPLFm4TPPfWedz3,Exceptional,Unisonic,spotify_artist_monthly_listeners,29043,4.4630415,50,1.0012238,0.00053117393,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,14,4qgDlkfqsbZ0q5tOSp0nqE,Blood of Heroes,Týr,spotify_artist_monthly_listeners,133802,5.1264626,60,4.6126691,0.6639523,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,15,1IHm4OFrUoNPBCkIU6Bs70,Breaking Away,Avantasia,spotify_artist_monthly_listeners,566810,5.7534375,70,19.540119,1.2909272,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,16,04YE7G41IJitByjtXZIvsh,Speed Of Light,Stratovarius,spotify_artist_monthly_listeners,846284,5.9275161,73.333333,29.174662,1.4650058,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,17,6NckTLOMeZFE9sqx4EyisQ,Spirit Never Die,Masterplan,spotify_artist_monthly_listeners,175203,5.2435415,60,6.0399207,0.78103124,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,18,2EJsu3n8ue4MZNBchZdec5,The Black Mare,Dragonland,spotify_artist_monthly_listeners,59740,4.7762652,56.666667,2.0594674,0.31375492,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,19,7kXm6XvhKjNOTFMJvYZjYe,Hammer High,HammerFall,spotify_artist_monthly_listeners,850707,5.92978,73.333333,29.32714,1.4672697,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,20,3MpcisMq2eMJzmRqvtWgBI,Saxons and Vikings,Amon Amarth,spotify_artist_monthly_listeners,1196676,6.0779766,76.666667,41.254021,1.6154663,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,21,7s0fJ0s9A5eRh4NXaMkfgS,Nightfall - Remastered 2007,Blind Guardian,spotify_artist_monthly_listeners,609138,5.7847157,70,20.999328,1.3222054,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,22,02WitL66kM2ObNDkM95rFD,Above the Sky,Majestica,spotify_artist_monthly_listeners,293298,5.4673091,66.666667,10.111109,1.0047988,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,23,6aRqhtKs3kI7scnLc5AAJB,Time,Helloween,spotify_artist_monthly_listeners,1440410,6.1584861,83.333333,49.656468,1.6959758,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,24,5Lsf30tzpE7uqBb0U2b9eV,Neverending,Frozen Crown,spotify_artist_monthly_listeners,67346,4.8283118,56.666667,2.3216754,0.36580151,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,25,1ppcxWKxhdjKWg1LqCO7Q7,This Is My Hell,Ashes Of Ares,spotify_artist_monthly_listeners,13109,4.1175696,36.666667,0.45191761,-0.34494074,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,26,0ASc6EqyR29pOrdrkpzYHq,Lost in Your Eyes,Heavenly,spotify_artist_monthly_listeners,68155,4.8334977,56.666667,2.3495648,0.37098742,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,27,3AdlMcK1KoF7to9n9kYyvg,Running Through the Fire,Silent Force,spotify_artist_monthly_listeners,18004,4.255369,36.666667,0.62066707,-0.2071413,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,28,7cwY4gGH91p3hz3mU9CWkT,In the Heart of Stone,Dark Moor,spotify_artist_monthly_listeners,70608,4.8488539,60,2.4341291,0.38634361,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,29,1JDPQZ1BISDLEEJQ8s8NDO,Seven Seals,Primal Fear,spotify_artist_monthly_listeners,103568,5.0152256,60,3.570387,0.55271529,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User1,1,experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,Week3_User1,30,1mli8PqKfzPyGXEwXsS59c,Undying Evil,Enforcer,spotify_artist_monthly_listeners,52615,4.7211096,56.666667,1.8138412,0.25859927,2026-08-04T18:37:42+00:00,track,
recommended,spotify,Week3_04August,3,User2,2,experiment_results/Week3_04August/Spotify/User2/Week3_User2_spotify_metadata.csv,Week3_User2,1,5efydZMkYiKSdRnvjCtTqo,Emerald Sword,Rhapsody,spotify_artist_monthly_listeners,370033,5.5682405,66.666667,12.75646,1.1057302,2026-08-04T18:37:42+00:00,track,
