candidate_id,artist,title,country,expected_year,style,youtube_artist_name,spotify_track_id,primary_artist_id,primary_artist_url,spotify_url,spotify_title,spotify_artists,spotify_album,spotify_release_date,spotify_isrc,spotify_duration_ms,spotify_api_popularity,validation_status,validation_notes,artist_monthly_listeners,artist_monthly_listeners_captured_at,artist_monthly_listeners_source,artist_monthly_listeners_fetch_error,stream_count,captured_at,source_note,stream_count_censored,spotify_metric,spotify_metric_value,spotify_percentile,spotify_tier,spotify_log10_popularity,spotify_magnitude_tier,spotify_magnitude_cluster_center,spotify_magnitude_distance_to_center
M021,Bloodbound,Moria,Sweden,2011,power metal,,5CtKdgmm86gjAETNUqDJHQ,6nf7iwR6AoROxfUKZWd1r6,https://open.spotify.com/artist/6nf7iwR6AoROxfUKZWd1r6,https://open.spotify.com/track/5CtKdgmm86gjAETNUqDJHQ,Moria,Bloodbound,Unholy Cross,2011-03-18,DEU601103271,340622,,OK,,286310,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,286310,70.48,Buffer,5.456838,High,5.895970,0.439132
M022,Dynazty,Heartless Madness,Sweden,2020,power metal,,4QaxyJsbo5AR3bnEB7ko8h,5deRBvKxJssHVa9n6B7tWV,https://open.spotify.com/artist/5deRBvKxJssHVa9n6B7tWV,https://open.spotify.com/track/4QaxyJsbo5AR3bnEB7ko8h,Heartless Madness,Dynazty,The Dark Delight,2020-04-03,DEU601908672,239866,,OK,,587543,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,587543,76.51,High,5.769040,High,5.895970,0.126929
M023,Civil War,Rome Is Falling,Sweden,2012,power metal,,6oYAAgSsy3A5167QZl6Zb5,6lGzC0JJCotCU9QZ2Lgi8T,https://open.spotify.com/artist/6lGzC0JJCotCU9QZ2Lgi8T,https://open.spotify.com/track/6oYAAgSsy3A5167QZl6Zb5,Rome Is Falling,Civil War,Rome Is Falling,2012-10-23,SEXTE1202101,324423,,OK,,68031,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,68031,53.61,Middle,4.832713,Middle,4.092167,0.740547
M024,Brothers of Metal,Yggdrasil,Sweden,2017,power metal,,3V417nSM4Ilh0Tt5CqustV,0WPCPYm5IDNtQjuJOGNPcy,https://open.spotify.com/artist/0WPCPYm5IDNtQjuJOGNPcy,https://open.spotify.com/track/3V417nSM4Ilh0Tt5CqustV,Yggdrasil,Brothers of Metal,Prophecy of Ragnarök,2017-04-01,USCGJ1733170,272292,,OK,,858033,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,858033,82.53,High,5.933504,High,5.895970,0.037535
M025,Beast in Black,Blind and Frozen,Finland,2017,power metal,,7iOSeHfKU2EhSKcX7TbjKG,0rEuaTPLMhlViNCJrg3NEH,https://open.spotify.com/artist/0rEuaTPLMhlViNCJrg3NEH,https://open.spotify.com/track/7iOSeHfKU2EhSKcX7TbjKG,Blind And Frozen,Beast In Black,Berserker,2017-11-03,DED831701293,304596,,OK,,1271062,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,1271062,87.35,High,6.104167,High,5.895970,0.208197
M026,Stratovarius,Unbreakable,Finland,2013,power metal,,1IaQLINjiOCSv4INrrv0aS,1O8CSXsPwEqxcoBE360PPO,https://open.spotify.com/artist/1O8CSXsPwEqxcoBE360PPO,https://open.spotify.com/track/1IaQLINjiOCSv4INrrv0aS,Unbreakable - Remastered,Stratovarius,Nemesis,2013-02-22,DEH841201011,277546,,OK,,848393,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,848393,81.33,High,5.928598,High,5.895970,0.032628
M027,Sonata Arctica,The Wolves Die Young,Finland,2014,power metal,,4gAxNZIyZqKSQCYcZ0YPXH,5YeoQ1L71cXDMpSpqxOjfH,https://open.spotify.com/artist/5YeoQ1L71cXDMpSpqxOjfH,https://open.spotify.com/track/4gAxNZIyZqKSQCYcZ0YPXH,The Wolves Die Young,Sonata Arctica,Pariah's Child,2014-03-28,DED831400050,251893,,OK,,457896,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,457896,74.10,Buffer,5.660768,High,5.895970,0.235202
M028,Turisas,Ten More Miles,Finland,2013,heavy metal,,4ynHiLrKPvpR0mzQVruU60,0ykT1si9XRFPmEvWOnf4YI,https://open.spotify.com/artist/0ykT1si9XRFPmEvWOnf4YI,https://open.spotify.com/track/4ynHiLrKPvpR0mzQVruU60,Ten More Miles,Turisas,Turisas2013,2013-09-03,US4E41301802,256320,,OK,,250996,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,250996,65.66,Buffer,5.399669,High,5.895970,0.496301
M029,Rhapsody of Fire,Rain of Fury,Italy,2019,power metal,,7ACH45QQtgGPFzWJbiirXN,3IjLXN4eSksdGj8uDE4Jm1,https://open.spotify.com/artist/3IjLXN4eSksdGj8uDE4Jm1,https://open.spotify.com/track/7ACH45QQtgGPFzWJbiirXN,Rain of Fury,Rhapsody Of Fire,The Eighth Mountain,2019-02-22,DEU601808008,249386,,OK,,243186,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,243186,64.46,Buffer,5.385940,High,5.895970,0.510029
M030,Wind Rose,Drunken Dwarves,Italy,2019,power metal,,4qxK1lnNoYm1kevG69mhHU,67ps5pbKVO7V9Fcb4lTIXz,https://open.spotify.com/artist/67ps5pbKVO7V9Fcb4lTIXz,https://open.spotify.com/track/4qxK1lnNoYm1kevG69mhHU,Drunken Dwarves,Wind Rose,Wintersaga,2019-09-27,ATN261985903,272767,,OK,,723787,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,723787,80.12,High,5.859611,High,5.895970,0.036358
M031,Trick or Treat,Rabbit's Hill,Italy,2012,power metal,,0LLz9aMUEkY9q3kBLXymEI,2mj5rXb8mYaRoF7oOHfgqI,https://open.spotify.com/artist/2mj5rXb8mYaRoF7oOHfgqI,https://open.spotify.com/track/0LLz9aMUEkY9q3kBLXymEI,Rabbit's Hill,Trick or Treat,"Rabbit's Hill, Pt. 1",2012-11-23,DEQ121216760,325920,,OK,,9454,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,9454,33.13,Buffer,3.975662,Middle,4.092167,0.116505
M032,Vision Divine,Angel of Revenge,Italy,2018,power metal,,4ktpjpQSF5GeX03fzd06EJ,5L6lO4X5v3GJpTkBg1BdW2,https://open.spotify.com/artist/5L6lO4X5v3GJpTkBg1BdW2,https://open.spotify.com/track/4ktpjpQSF5GeX03fzd06EJ,Angel of Revenge,Vision Divine,Angel of Revenge,2018-12-15,DEAR41838004,363316,,OK,,25610,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,25610,47.59,Middle,4.408427,Middle,4.092167,0.316260
M033,Angra,Black Hearted Soul,Brazil,2014,power metal,,1QSYruiVW9PQhFkS2z41af,7IAXZaLTb6nkJr8RmVPn5y,https://open.spotify.com/artist/7IAXZaLTb6nkJr8RmVPn5y,https://open.spotify.com/track/1QSYruiVW9PQhFkS2z41af,Black Hearted Soul,ANGRA,Secret Garden,2014,BRPOQ1400002,288733,,OK,,613185,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,613185,78.92,High,5.787592,High,5.895970,0.108378
M034,Shaman,Brand New Me,Brazil,2022,power metal,,4O9EMs6XKGFLMMEqeHd0JQ,2THaGrUq7RPnj8Uax9zQ1m,https://open.spotify.com/artist/2THaGrUq7RPnj8Uax9zQ1m,https://open.spotify.com/track/4O9EMs6XKGFLMMEqeHd0JQ,Brand New Me,Shaman,Rescue,2022-04-15,BRHHU2200009,315666,,OK,,193502,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,193502,60.84,Middle,5.286688,High,5.895970,0.609282
M035,Armored Dawn,Sail Away,Brazil,2018,heavy metal,,71vODTU3y6KNJqPVauyST5,1oueQWyrcULGbpk0DyiqGf,https://open.spotify.com/artist/1oueQWyrcULGbpk0DyiqGf,https://open.spotify.com/track/71vODTU3y6KNJqPVauyST5,Sail Away,Armored Dawn,Barbarians in Black,2018-02-01,BXEFE1700007,239280,,OK,,4903,2026-06-29T19:38:38+00:00,Spotify public artist page,,,,Spotify desktop album page,no,artist_monthly_listeners,4903,21.08,Low,3.690550,Middle,4.092167,0.401616
