candidate_id,artist,title,spotify_track_id,primary_artist_id,primary_artist_url,spotify_url,spotify_isrc,stream_count,captured_at,source_note
M011,Accept,Teutonic Terror,3crIa21lfjekujCQuGjlJT,3JDIAtVrJdQ7GFOX26LYpv,https://open.spotify.com/artist/3JDIAtVrJdQ7GFOX26LYpv,https://open.spotify.com/track/3crIa21lfjekujCQuGjlJT,DED831000251,,,Spotify desktop album page
M012,Orden Ogan,Gunman,3Mz5lXbMBK2tUmKAwAJwi1,3t5X2CVDf5mrlIx1SdvWYM,https://open.spotify.com/artist/3t5X2CVDf5mrlIx1SdvWYM,https://open.spotify.com/track/3Mz5lXbMBK2tUmKAwAJwi1,DEU601706950,,,Spotify desktop album page
M013,Primal Fear,The End Is Near,0V2Jge35CQn1Hc9hNBmdbm,1yfiDL3YUEJlQCgb5Pun6g,https://open.spotify.com/artist/1yfiDL3YUEJlQCgb5Pun6g,https://open.spotify.com/track/0V2Jge35CQn1Hc9hNBmdbm,ITG271600027,,,Spotify desktop album page
M014,Grave Digger,Highland Farewell,3zX2MDSXSlQNviigge9vAT,6mfghV4I1CD17FOhDKq7cJ,https://open.spotify.com/artist/6mfghV4I1CD17FOhDKq7cJ,https://open.spotify.com/track/3zX2MDSXSlQNviigge9vAT,ATN261034904,,,Spotify desktop album page
M015,Iron Maiden,Speed of Light,1smvmwmbrQiBwgJZMxVtup,6mdiAmATAx73kdxrNrnlao,https://open.spotify.com/artist/6mdiAmATAx73kdxrNrnlao,https://open.spotify.com/track/1smvmwmbrQiBwgJZMxVtup,GBCHB1410645,,,Spotify desktop album page
M016,Judas Priest,Lightning Strike,6qopop1Rc9r1RjEIBQhc8d,2tRsMl4eGxwoNabM08Dm4I,https://open.spotify.com/artist/2tRsMl4eGxwoNabM08Dm4I,https://open.spotify.com/track/6qopop1Rc9r1RjEIBQhc8d,GBARL1702142,,,Spotify desktop album page
M017,Saxon,Thunderbolt,0ViETXmkc9BrgimhkqREGr,71vVmHeNgCVSa5SVmfvscU,https://open.spotify.com/artist/71vVmHeNgCVSa5SVmfvscU,https://open.spotify.com/track/0ViETXmkc9BrgimhkqREGr,UKKY81700135,,,Spotify desktop album page
M018,DragonForce,Cry Thunder,45W8En2qul3ljQKzIbsyT4,2pH3wEn4eYlMMIIQyKPbVR,https://open.spotify.com/artist/2pH3wEn4eYlMMIIQyKPbVR,https://open.spotify.com/track/45W8En2qul3ljQKzIbsyT4,DEH841500444,,,Spotify desktop album page
M019,Sabaton,Bismarck,39m87lOMd5ccENPVvAT7gH,3o2dn2O0FCVsWDFSh8qxgG,https://open.spotify.com/artist/3o2dn2O0FCVsWDFSh8qxgG,https://open.spotify.com/track/39m87lOMd5ccENPVvAT7gH,SE6HE1900101,,,Spotify desktop album page
M020,HammerFall,Hector's Hymn,708gbPVWfY8C4Q32PSYlvW,2o18h28enlHxj887tATc58,https://open.spotify.com/artist/2o18h28enlHxj887tATc58,https://open.spotify.com/track/708gbPVWfY8C4Q32PSYlvW,DED831400765,,,Spotify desktop album page
