platform,week_number,user_number,playlist_song_count,valid_popularity_count,missing_popularity_count,popularity_coverage,median_popularity,mean_popularity,geometric_mean_popularity,median_log10_plus1,median_log10_delta_vs_balanced,median_ratio_vs_balanced,median_original_pool_percentile,mean_original_pool_percentile,share_above_balanced_median,share_above_balanced_max,share_low_tier,share_buffer_tier,share_middle_tier,share_high_tier
YouTube,4,9,30,30,0,1.0,6378175.0,62605327.833333336,7015444.987291207,6.804692970707465,1.9904453749755442,97.82478527607363,92.168675,87.40963856666667,1.0,0.36666666666666664,0.0,0.13333333333333333,0.03333333333333333,0.8333333333333334
YouTube,4,10,30,30,0,1.0,73900175.5,183612857.3,41113596.40526842,7.867869916857995,3.0536223211260745,1133.4382898773006,99.39759,93.63453813333332,1.0,0.6666666666666666,0.0,0.0,0.03333333333333333,0.9666666666666667
YouTube,5,1,30,30,0,1.0,2099092.5,155998608.06666666,3591286.939743159,6.321882271037271,1.5076346753053511,32.19468558282209,81.325301,80.6024096,0.9666666666666667,0.23333333333333334,0.0,0.26666666666666666,0.13333333333333333,0.6
YouTube,5,2,30,30,0,1.0,7497457.5,142549771.16666666,6478135.542902279,6.869890006002398,2.0556424102704782,114.99169478527607,92.168675,84.87951803333333,0.9333333333333333,0.4,0.0,0.23333333333333334,0.1,0.6666666666666666
YouTube,5,3,30,30,0,1.0,2216608.5,162936874.16666666,4381655.068458247,6.344548291201361,1.5303006954694407,33.997078220858896,81.92771049999999,81.20481923333334,1.0,0.36666666666666664,0.0,0.16666666666666666,0.23333333333333334,0.6
YouTube,5,4,30,30,0,1.0,12491686.5,125990014.7,11241278.833737306,7.086905948451829,2.2726583527199087,191.5902990797546,95.180723,89.05622483333332,1.0,0.5,0.0,0.06666666666666667,0.06666666666666667,0.8666666666666667
YouTube,5,5,30,30,0,1.0,1843218.5,93657658.46666667,2276388.9132393626,6.26506708531975,1.450819489587829,28.27023773006135,80.120482,77.59036133333333,0.9,0.23333333333333334,0.0,0.2,0.23333333333333334,0.5666666666666667
YouTube,5,6,30,30,0,1.0,4871217.5,11036354.866666667,4771643.590581182,6.6872413591794695,1.8729937634475489,74.71194018404908,88.554217,86.66666666666667,1.0,0.2,0.0,0.2,0.0,0.8
YouTube,5,7,30,30,0,1.0,554494.5,6046949.8,993177.7105096541,5.743455055382451,0.92920745965053,8.504532208588957,71.0843375,74.25702813333334,0.9666666666666667,0.13333333333333333,0.0,0.26666666666666666,0.26666666666666666,0.4666666666666667
YouTube,5,8,30,30,0,1.0,1605491.0,16295398.6,1846874.5051357595,6.205591633448108,1.391344037716188,24.624110429447853,78.915663,78.39357426666668,0.9333333333333333,0.26666666666666666,0.0,0.13333333333333333,0.26666666666666666,0.6
YouTube,5,9,30,30,0,1.0,7649797.5,10265753.866666667,4800450.738779691,6.8800447140592365,2.065797118327316,117.32819785276074,92.168675,86.94779123333332,1.0,0.2,0.0,0.23333333333333334,0.0,0.7666666666666667
