platform,week_number,user_number,song_count,median_popularity,median_log10_delta_vs_balanced,median_balanced_percentile,share_above_balanced_median,share_high_tier
Spotify,6,4,30,189155.5,0.7982169513930706,63.3333,0.9333333333333333,0.4
Spotify,6,5,30,79867.5,0.423169382832155,60.0,0.8,0.36666666666666664
Spotify,6,6,30,130024.5,0.6352205608651063,63.3333,0.8333333333333334,0.3
Spotify,6,7,30,176950.0,0.7690752199055435,63.3333,0.9,0.4
Spotify,6,8,30,189155.5,0.7982169513930706,63.3333,0.9666666666666667,0.4
Spotify,6,9,30,167208.0,0.7426361394787753,63.3333,0.8666666666666667,0.36666666666666664
Spotify,6,10,30,125250.5,0.615316015980286,63.3333,0.8666666666666667,0.3
YouTube,3,1,30,887332.5,1.1331981505368822,66.6667,1.0,0.6333333333333333
YouTube,3,2,30,3670124.5,1.7504203498514226,76.6667,0.9666666666666667,0.8333333333333334
YouTube,3,3,30,1507489.0,1.3637753582412282,73.3333,0.9666666666666667,0.7
YouTube,3,4,30,6326235.5,1.986904121247659,93.3333,0.9666666666666667,0.7666666666666667
YouTube,3,5,30,10751914.0,2.1966120699030696,93.3333,0.9333333333333333,0.8333333333333334
YouTube,3,6,30,10056242.0,2.183208907903799,93.3333,0.9,0.7333333333333333
YouTube,3,7,30,1054599.5,1.191538091981629,68.33335,0.9333333333333333,0.5333333333333333
YouTube,3,8,30,575326.5,0.9456689076803206,66.6667,0.8666666666666667,0.5333333333333333
YouTube,3,9,30,1242929.0,1.2663254259782892,70.0,0.9333333333333333,0.7
YouTube,3,10,30,347369.5,0.7255712760544486,66.6667,0.9,0.4666666666666667
YouTube,4,1,30,1510403.0,1.3638837407807562,73.3333,0.9666666666666667,0.7333333333333333
YouTube,4,2,30,1435128.0,1.3423247260700406,71.66665,0.8666666666666667,0.7
YouTube,4,3,30,1318518.0,1.3021133941656502,70.0,0.9666666666666667,0.5666666666666667
YouTube,4,4,30,3725138.0,1.7568972292016372,76.6667,0.9666666666666667,0.7
YouTube,4,5,30,1356162.5,1.3128131402630214,70.0,0.9,0.7666666666666667
YouTube,4,6,30,1635534.5,1.3985475802758773,75.0,0.9,0.7
YouTube,4,7,30,3005273.5,1.6536630499061973,76.6667,0.9666666666666667,0.8333333333333334
YouTube,4,8,30,562510.0,0.9306305901128682,66.6667,0.8333333333333334,0.5
YouTube,4,9,30,6378175.0,1.9904519678931232,93.3333,1.0,0.9
YouTube,4,10,30,73900175.5,3.0536289762376687,100.0,1.0,0.9666666666666667
YouTube,5,1,30,2099092.5,1.5076411292759841,76.6667,0.9666666666666667,0.7666666666666667
YouTube,5,2,30,7497457.5,2.0556490119984785,93.3333,0.9333333333333333,0.8
YouTube,5,3,30,2216608.5,1.5303071595192952,76.6667,1.0,0.7
YouTube,5,4,30,12491686.5,2.272664977371841,96.66665,1.0,0.9
YouTube,5,5,30,1843218.5,1.450825914425816,76.6667,0.9,0.7333333333333333
YouTube,5,6,30,4871217.5,1.8730003351388889,83.33335,1.0,0.9333333333333333
YouTube,5,7,30,554494.5,0.9292133358353003,66.6667,0.9666666666666667,0.5
YouTube,5,8,30,1605491.0,1.391350428199385,73.3333,0.9333333333333333,0.7
YouTube,5,9,30,7649797.5,2.065803721614239,93.3333,1.0,0.9
YouTube,5,10,30,516631.0,0.8978803382423126,66.6667,0.8666666666666667,0.5
YouTube,6,1,30,795683.0,1.0837625691640862,66.6667,0.8,0.6
YouTube,6,2,30,2181153.5,1.5236485561801496,76.6667,0.9666666666666667,0.8
YouTube,6,3,30,5739779.5,1.9419431277591528,90.0,1.0,0.9666666666666667
YouTube,6,4,30,1096590.0,1.2207676490526755,68.33335,0.9333333333333333,0.6666666666666666
YouTube,6,5,30,629990.0,0.9850670620871815,66.6667,0.9333333333333333,0.6
YouTube,6,6,30,355041.5,0.7287592308086372,66.6667,0.9333333333333333,0.43333333333333335
YouTube,6,7,30,1321774.5,1.3064810577193327,70.0,0.9666666666666667,0.7666666666666667
YouTube,6,8,30,2459845.0,1.5750900887905557,76.6667,1.0,0.7333333333333333
YouTube,6,9,30,1972769.0,1.4779401968497252,76.6667,1.0,0.6666666666666666
YouTube,6,10,5,1210894152.0,4.268865247056843,100.0,1.0,1.0
