row_type,platform,week_number,week_label,week_folder,user_number,user_label,captured_at_utc,capture_date,playlist_name,playlist_id,playlist_url,playlist_position,video_id,track_id,track_name,artist_name,artist_ids,artist_names,album_name,duration_seconds,duration_display,popularity_metric,popularity_metric_scope,youtube_url,youtube_music_url,view_count,view_count_source,view_rank_within_playlist_desc,view_percentile_within_playlist,youtube_artist_subscribers_approx,youtube_artist_subscribers_display,youtube_artist_channel_views,video_type,is_explicit_track,popularity_video_version_note,source_original_pool_percentile,source_original_pool_tier,exact_final_playlist_track_repeat,source_file,source_file_row,popularity_value,popularity_display,popularity_log10,popularity_available,final_playlist_percentile_30,final_playlist_tier_30,above_final_playlist_median,above_final_playlist_top_third_cutoff,above_final_playlist_max,original_candidate_pool_percentile_83,original_candidate_pool_rank_tier_83,popularity_log10_plus1,original_candidate_pool_reference_size,popularity_measurement_at_utc,metadata_repaired_at_utc
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,21,p3syPBCnQ3w,p3syPBCnQ3w,United,LORD,,LORD,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=p3syPBCnQ3w,,1594.0,,,,,,,,,,12.65,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,22,1594.0,"1,594 views",3.202488,True,16.6667,Low,False,False,False,12.650602,Low,3.202761,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,22,IsRd3kIThAo,IsRd3kIThAo,Alone in Paradise,Concerto Moon,,Concerto Moon,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=IsRd3kIThAo,,242.0,,,,,,,,,,3.01,Low,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,23,242.0,242 views,2.383815,True,3.3333,Low,False,False,False,3.012048,Low,2.385606,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,23,jpsUPdNthGY,jpsUPdNthGY,Wolf Totem,The HU,,The HU,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=jpsUPdNthGY,,4761121.0,,,,,,,,,,88.55,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,24,4761121.0,"4,761,121 views",6.677709,True,86.6667,High,True,True,False,88.554217,High,6.677709,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,24,5dqummhs3S8,5dqummhs3S8,The Devil's Bleeding Crown,Volbeat,,Volbeat,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=5dqummhs3S8,,5343528.0,,,,,,,,,,89.76,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,25,5343528.0,"5,343,528 views",6.727828,True,90.0,High,True,True,False,89.759036,High,6.727828,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,25,ERj08qJ2FAU,ERj08qJ2FAU,Bismarck,Sabaton,,Sabaton,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=ERj08qJ2FAU,,14176293.0,,,,,,,,,,93.37,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,26,14176293.0,"14,176,293 views",7.151563,True,96.6667,High,True,True,False,93.373494,High,7.151563,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,26,IVKByFMQHss,IVKByFMQHss,Blind and Frozen,Beast in Black,,Beast in Black,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=IVKByFMQHss,,14385630.0,,,,,,,,,,94.58,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,27,14385630.0,"14,385,630 views",7.157929,True,100.0,High,True,True,False,94.578313,High,7.157929,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,27,ral4hAS5dVk,ral4hAS5dVk,Teutonic Terror,Accept,,Accept,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=ral4hAS5dVk,,3933340.0,,,,,,,,,,86.14,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,28,3933340.0,"3,933,340 views",6.594761,True,80.0,High,True,True,False,86.144578,High,6.594762,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,28,BtRyz1qGI8c,BtRyz1qGI8c,Moth Into Flame,Metallica,,Metallica,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=BtRyz1qGI8c,,5386594.0,,,,,,,,,,90.96,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,29,5386594.0,"5,386,594 views",6.731314,True,93.3333,High,True,True,False,90.963855,High,6.731314,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,29,20vgg_WoTz4,20vgg_WoTz4,Cry Thunder,DragonForce,,DragonForce,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=20vgg_WoTz4,,1631618.0,,,,,,,,,,78.92,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,30,1631618.0,"1,631,618 views",6.212618,True,76.6667,High,True,True,False,78.915663,High,6.212619,83,,
final_balanced_baseline,Youtube,0,Final Balanced Playlist,experiment_setup,,Baseline,,,final_balanced_playlist,,,30,oPQAfz1GulI,oPQAfz1GulI,Drunken Dwarves,Wind Rose,,Wind Rose,,,,youtube_video_view_count,song_video,https://music.youtube.com/watch?v=oPQAfz1GulI,,4712660.0,,,,,,,,,,87.35,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,31,4712660.0,"4,712,660 views",6.673266,True,83.3333,High,True,True,False,87.349398,High,6.673266,83,,
