row_type,platform,week_number,week_label,week_folder,user_number,user_label,captured_at_utc,capture_date,playlist_name,playlist_id,playlist_url,playlist_position,track_id,track_name,artist_name,artist_ids,artist_names,album_name,duration_seconds,duration_display,popularity_metric,popularity_metric_scope,spotify_track_api_popularity,spotify_artist_api_popularity,spotify_artist_followers_total,spotify_artist_monthly_listeners,spotify_artist_monthly_listeners_display,spotify_url,artist_url,album_url,isrc,explicit,source_original_pool_percentile,source_original_pool_tier,exact_final_playlist_track_repeat,source_file,source_file_row,popularity_value,popularity_display,popularity_log10,popularity_available,final_playlist_percentile_30,final_playlist_tier_30,above_final_playlist_median,above_final_playlist_top_third_cutoff,above_final_playlist_max,original_candidate_pool_percentile_83,original_candidate_pool_rank_tier_83,popularity_log10_plus1,original_candidate_pool_reference_size
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,27,3crIa21lfjekujCQuGjlJT,Teutonic Terror,Accept,,Accept,,,,spotify_artist_monthly_listeners,artist,,,,1213609,,https://open.spotify.com/track/3crIa21lfjekujCQuGjlJT,,,DED831000251,,86.14,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,28,1213609,"1,213,609 monthly listeners",6.084079,True,76.6667,High,True,True,False,86.144578,High,6.084079,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,28,3JjZq20Kv6UphyyirAaY9A,Moth Into Flame,Metallica,,Metallica,,,,spotify_artist_monthly_listeners,artist,,,,32848505,,https://open.spotify.com/track/3JjZq20Kv6UphyyirAaY9A,,,QMKHM1600380,,99.4,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,29,32848505,"32,848,505 monthly listeners",7.516516,True,100.0,High,True,True,False,99.39759,High,7.516516,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,29,45W8En2qul3ljQKzIbsyT4,Cry Thunder,DragonForce,,DragonForce,,,,spotify_artist_monthly_listeners,artist,,,,1856073,,https://open.spotify.com/track/45W8En2qul3ljQKzIbsyT4,,,DEH841500444,,90.96,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,30,1856073,"1,856,073 monthly listeners",6.268595,True,90.0,High,True,True,False,90.963855,High,6.268595,83
final_balanced_baseline,Spotify,0,Final Balanced Playlist,experiment_setup,,Baseline,2026-06-29T19:38:38+00:00,2026-06-29,final_balanced_playlist,,,30,4qxK1lnNoYm1kevG69mhHU,Drunken Dwarves,Wind Rose,,Wind Rose,,,,spotify_artist_monthly_listeners,artist,,,,723787,,https://open.spotify.com/track/4qxK1lnNoYm1kevG69mhHU,,,ATN261985903,,80.12,High,True,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_setup/final_balanced_playlist.csv,31,723787,"723,787 monthly listeners",5.859611,True,73.3333,High,True,True,False,80.120482,High,5.859611,83
recommended,Spotify,3,Week3,Week3_04August,1.0,User1,2026-08-04T18:37:42+00:00,2026-08-04,Week3_User1,2sgO7V5lFfFNoz1EQN4dhd,https://open.spotify.com/playlist/2sgO7V5lFfFNoz1EQN4dhd,1,43buFx217gR6dOU4KcwhhG,To The Last Drop Of Blood,Beast In Black,0rEuaTPLMhlViNCJrg3NEH,Beast In Black,Dark Connection,235.0,,spotify_artist_monthly_listeners,artist,,,,1265722,"1,265,722",https://open.spotify.com/track/43buFx217gR6dOU4KcwhhG,https://open.spotify.com/artist/0rEuaTPLMhlViNCJrg3NEH,https://open.spotify.com/album/30O1KkbyS9bbOniw7xtQux,DED832100526,False,,,False,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,2,1265722,"1,265,722 monthly listeners",6.102338,True,76.6667,High,True,True,False,87.349398,High,6.102339,83
recommended,Spotify,3,Week3,Week3_04August,1.0,User1,2026-08-04T18:37:42+00:00,2026-08-04,Week3_User1,2sgO7V5lFfFNoz1EQN4dhd,https://open.spotify.com/playlist/2sgO7V5lFfFNoz1EQN4dhd,2,2Wy6uQOX2y45ooKuQb7Q9B,Dawn of Victory,Rhapsody,0zQfrabOFYf36Ikb6PXcCY,Rhapsody,Dawn of Victory,287.0,,spotify_artist_monthly_listeners,artist,,,,370033,"370,033",https://open.spotify.com/track/2Wy6uQOX2y45ooKuQb7Q9B,https://open.spotify.com/artist/0zQfrabOFYf36Ikb6PXcCY,https://open.spotify.com/album/6T6i4ZLAwRHVOxRaQnC5js,DET270002302,False,,,False,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,3,370033,"370,033 monthly listeners",5.56824,True,66.6667,High,True,True,False,74.096386,Buffer,5.568242,83
recommended,Spotify,3,Week3,Week3_04August,1.0,User1,2026-08-04T18:37:42+00:00,2026-08-04,Week3_User1,2sgO7V5lFfFNoz1EQN4dhd,https://open.spotify.com/playlist/2sgO7V5lFfFNoz1EQN4dhd,3,7f1YVLsmmbmobjlt40VWrt,Midnight Blitz,TAILGUNNER,6Wl6VXLasmiON3BDiha6e1,TAILGUNNER,Midnight Blitz,235.0,,spotify_artist_monthly_listeners,artist,,,,28007,"28,007",https://open.spotify.com/track/7f1YVLsmmbmobjlt40VWrt,https://open.spotify.com/artist/6Wl6VXLasmiON3BDiha6e1,https://open.spotify.com/album/4cQlO0Sje61R9cTm9TVe23,ATN262540701,False,,,False,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,4,28007,"28,007 monthly listeners",4.447267,True,46.6667,Middle,False,False,False,50.0,Middle,4.447282,83
recommended,Spotify,3,Week3,Week3_04August,1.0,User1,2026-08-04T18:37:42+00:00,2026-08-04,Week3_User1,2sgO7V5lFfFNoz1EQN4dhd,https://open.spotify.com/playlist/2sgO7V5lFfFNoz1EQN4dhd,4,56wSCyYGzDAFSGYX7rq2Oi,First in Line,Sonata Arctica,5YeoQ1L71cXDMpSpqxOjfH,Sonata Arctica,Clear Cold Beyond,322.0,,spotify_artist_monthly_listeners,artist,,,,453572,"453,572",https://open.spotify.com/track/56wSCyYGzDAFSGYX7rq2Oi,https://open.spotify.com/artist/5YeoQ1L71cXDMpSpqxOjfH,https://open.spotify.com/album/2SoXwz2cx7liR5nO4FPRJO,DE1AH2312701,False,,,False,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,5,453572,"453,572 monthly listeners",5.656646,True,66.6667,High,True,True,False,74.096386,Buffer,5.656647,83
recommended,Spotify,3,Week3,Week3_04August,1.0,User1,2026-08-04T18:37:42+00:00,2026-08-04,Week3_User1,2sgO7V5lFfFNoz1EQN4dhd,https://open.spotify.com/playlist/2sgO7V5lFfFNoz1EQN4dhd,5,35TLynakKhHyg7FcONAypo,Center of the Universe,Kamelot,7gTbq5nTZGQIUgjEGXQpOS,Kamelot,Epica,327.0,,spotify_artist_monthly_listeners,artist,,,,372111,"372,111",https://open.spotify.com/track/35TLynakKhHyg7FcONAypo,https://open.spotify.com/artist/7gTbq5nTZGQIUgjEGXQpOS,https://open.spotify.com/album/0eefIi91Qn1mp2rkf8B5go,GBAJE0201088,False,,,False,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,6,372111,"372,111 monthly listeners",5.570673,True,66.6667,High,True,True,False,74.096386,Buffer,5.570674,83
recommended,Spotify,3,Week3,Week3_04August,1.0,User1,2026-08-04T18:37:42+00:00,2026-08-04,Week3_User1,2sgO7V5lFfFNoz1EQN4dhd,https://open.spotify.com/playlist/2sgO7V5lFfFNoz1EQN4dhd,6,3jPXnbdxziaxnkUeA8e5Cc,Dethrone Tyranny - Remastered,Gamma Ray,6LZE884lDIsCSLHuTplfGp,Gamma Ray,The Best (Of),254.0,,spotify_artist_monthly_listeners,artist,,,,168622,"168,622",https://open.spotify.com/track/3jPXnbdxziaxnkUeA8e5Cc,https://open.spotify.com/artist/6LZE884lDIsCSLHuTplfGp,https://open.spotify.com/album/09ZD2k6FieGjzoVGrQdsAC,DEH841400693,False,,,False,/Users/akarcaal/Development/ReposMCT/PopularityAnalyzer/experiment_results/Week3_04August/Spotify/User1/Week3_User1_spotify_metadata.csv,7,168622,"168,622 monthly listeners",5.226914,True,63.3333,Middle,True,False,False,59.638554,Middle,5.226917,83
