platform,week_number,user_number,playlist_song_count,valid_popularity_count,missing_popularity_count,popularity_coverage,median_popularity,mean_popularity,geometric_mean_popularity,median_log10_plus1,median_log10_delta_vs_balanced,median_ratio_vs_balanced,median_original_pool_percentile,mean_original_pool_percentile,share_above_balanced_median,share_above_balanced_max,share_low_tier,share_buffer_tier,share_middle_tier,share_high_tier
Spotify,4,5,30,30,0,1.0,105528.5,336294.2,117335.43211693865,5.023191523707743,0.5447404705605918,3.506895520404094,57.8313255,61.445783266666666,0.7333333333333333,0.0,0.0,0.13333333333333333,0.6333333333333333,0.23333333333333334
Spotify,4,6,30,30,0,1.0,115640.5,362989.7,128602.17761756375,5.062304119669491,0.5838530665223409,3.842931676193008,59.0361445,62.289156733333336,0.7333333333333333,0.0,0.0,0.16666666666666666,0.5666666666666667,0.26666666666666666
Spotify,4,7,30,30,0,1.0,144579.5,339539.56666666665,126213.91447444979,5.1550766698390955,0.6766256166919451,4.804615844742789,59.638554,61.847389666666665,0.7333333333333333,0.0,0.0,0.13333333333333333,0.6,0.26666666666666666
Spotify,4,8,30,30,0,1.0,115640.5,473322.26666666666,131295.45745580806,5.062304119669491,0.5838530665223409,3.842931676193008,59.0361445,62.28915673333333,0.7333333333333333,0.0,0.0,0.16666666666666666,0.5666666666666667,0.26666666666666666
Spotify,4,9,30,30,0,1.0,267868.5,543298.3666666667,184075.71462864892,5.426660746641721,0.9482096934945701,8.901684833178253,68.674699,65.70281136666667,0.8,0.0,0.0,0.2,0.4666666666666667,0.3333333333333333
Spotify,4,10,30,30,0,1.0,144579.5,329191.86666666664,127199.6691651656,5.1550766698390955,0.6766256166919451,4.804615844742789,59.638554,61.84738966666666,0.7666666666666667,0.0,0.0,0.16666666666666666,0.6,0.23333333333333334
Spotify,5,1,30,30,0,1.0,93579.5,241441.56666666668,107570.10209957242,4.969297120257229,0.4908460671100783,3.109813239399176,57.228916,60.48192773333333,0.8,0.0,0.0,0.1,0.7,0.2
Spotify,5,2,30,30,0,1.0,77084.0,204923.2,88408.82408730117,4.884741993501301,0.4062909403541499,2.5616442908414196,56.0240965,59.03614463333333,0.7333333333333333,0.0,0.0,0.13333333333333333,0.7333333333333333,0.13333333333333333
Spotify,5,3,30,30,0,1.0,243528.5,582540.8333333334,258307.90581133598,5.386549713116819,0.908098659969669,8.092831981922105,65.06024099999999,68.19277113333334,0.9333333333333333,0.0,0.0,0.26666666666666666,0.4,0.3333333333333333
Spotify,5,4,30,30,0,1.0,208476.0,532344.4666666667,181346.76102072274,5.3180108236318215,0.8395597704846707,6.9279875049847135,63.253012,65.34136556666667,0.8333333333333334,0.0,0.0,0.23333333333333334,0.5,0.26666666666666666
Spotify,5,5,30,30,0,1.0,390878.0,640540.8,268773.13669183553,5.591909618545603,1.1134585653984526,12.989465638707962,74.096386,69.19678723333332,0.8666666666666667,0.0,0.0,0.16666666666666666,0.4,0.43333333333333335
Spotify,5,6,30,30,0,1.0,243528.5,595195.4333333333,231006.0784752082,5.386549713116819,0.908098659969669,8.092831981922105,65.06024099999999,67.30923693333334,0.8666666666666667,0.0,0.0,0.26666666666666666,0.36666666666666664,0.36666666666666664
Spotify,5,7,30,30,0,1.0,59563.5,228896.03333333333,93679.16185820337,4.763224930138714,0.28477387699156376,1.9794131330586202,54.2168675,60.2008033,0.7333333333333333,0.0,0.0,0.16666666666666666,0.6333333333333333,0.2
Spotify,5,8,30,30,0,1.0,243528.5,523561.0,190322.88099806357,5.386549713116819,0.908098659969669,8.092831981922105,65.06024099999999,65.90361446666667,0.7666666666666667,0.0,0.0,0.26666666666666666,0.36666666666666664,0.36666666666666664
Spotify,5,9,30,30,0,1.0,206337.5,581154.1333333333,211420.01039162383,5.313170354027401,0.8347193008802507,6.856922105543002,62.650602,66.90763053333332,0.8333333333333334,0.0,0.0,0.1,0.5,0.4
Spotify,5,10,30,30,0,1.0,384564.5,646725.3333333334,259972.2935066668,5.584953856556543,1.1065028034093922,12.779659045593514,74.096386,68.95582333333333,0.8333333333333334,0.0,0.0,0.3,0.3,0.4
Spotify,6,1,30,30,0,1.0,103008.0,362844.7,152184.70200928018,5.0030497812047106,0.5245987280575601,3.423135717134122,57.831325,63.935742933333344,0.9333333333333333,0.0,0.0,0.03333333333333333,0.6666666666666666,0.3
Spotify,6,2,30,30,0,1.0,208029.5,431056.1,193485.83816227457,5.31519457234296,0.8367435191958092,6.913149674332049,62.650602,66.26506023333333,0.8666666666666667,0.0,0.0,0.16666666666666666,0.5,0.3333333333333333
Spotify,6,3,30,30,0,1.0,176950.0,384613.1,170287.02867018938,5.24751429874795,0.7690632456007993,5.880333643493287,60.2409635,64.85943776666666,0.8666666666666667,0.0,0.0,0.2,0.5333333333333333,0.26666666666666666
Spotify,6,4,30,30,0,1.0,189155.5,460881.23333333334,194075.833480905,5.276655869785322,0.7982048166381714,6.285939784660375,61.445783,65.86345390000001,0.9333333333333333,0.0,0.0,0.16666666666666666,0.5333333333333333,0.3
Spotify,6,5,30,30,0,1.0,79867.5,295811.86666666664,126045.19655152905,4.901611460335944,0.42316040718879444,2.6541439585271833,56.0240965,62.530120499999995,0.8,0.0,0.0,0.1,0.6333333333333333,0.26666666666666666
Spotify,6,6,30,30,0,1.0,130024.5,482099.3333333333,151246.91585928467,5.113660527298372,0.635209474151222,4.320932473747176,59.638554,63.453815266666666,0.8333333333333334,0.0,0.0,0.13333333333333333,0.6,0.26666666666666666
Spotify,6,7,30,30,0,1.0,176950.0,382159.6,170131.23462435586,5.24751429874795,0.7690632456007993,5.880333643493287,60.2409635,64.93975906666667,0.9,0.0,0.0,0.13333333333333333,0.5666666666666667,0.3
Spotify,6,8,30,30,0,1.0,189155.5,358622.3,196166.3206569329,5.276655869785322,0.7982048166381714,6.285939784660375,61.445783,66.14457833333333,0.9666666666666667,0.0,0.0,0.16666666666666666,0.5333333333333333,0.3
Spotify,6,9,30,30,0,1.0,167208.0,520070.76666666666,172076.4434360568,5.221075383743457,0.742624330596307,5.556593114449023,60.2409635,65.10040163333333,0.8666666666666667,0.0,0.0,0.16666666666666666,0.5666666666666667,0.26666666666666666
Spotify,6,10,30,30,0,1.0,125250.5,334400.8333333333,145334.94470314684,5.093756168956613,0.6153051158094622,4.162285657317559,59.0361445,63.05220886666667,0.8666666666666667,0.0,0.0,0.13333333333333333,0.6333333333333333,0.23333333333333334
