source_type,playlist_kind,week_folder,week_number,platform,user_folder,user_number,playlist_name,track_count,tracks_with_popularity,min_popularity_value,median_popularity_value,mean_popularity_value,max_popularity_value,median_log10_popularity,mean_log10_popularity,median_log10_delta_vs_final_balanced,mean_log10_delta_vs_final_balanced,median_ratio_vs_final_balanced,median_baseline_empirical_percentile,mean_baseline_empirical_percentile,share_above_final_balanced_median,share_top_third_vs_final_balanced,share_above_final_balanced_max
recommended,weekly_recommendation,Week2_28July,2,Spotify,User7,7,Week2_User7,30,30,10317.0,157658.0,364219.6666666667,3096823.0,5.196906018238877,5.174726251329205,0.7187666795807424,0.6965869126710701,5.239373899172509,63.333333333333336,60.88888888888888,0.8333333333333334,0.23333333333333334,0.0
recommended,weekly_recommendation,Week2_28July,2,Spotify,User8,8,Week2-User8,30,30,16435.0,292756.0,419201.3,1265927.0,5.466490409215806,5.410344220613305,0.9883510705576715,0.9322048819551703,9.729021966701007,66.66666666666667,64.88888888888889,0.9333333333333333,0.3,0.0
recommended,weekly_recommendation,Week2_28July,2,Spotify,User9,9,Week2_User9,30,30,10317.0,191631.5,405670.8,3096823.0,5.282466679942631,5.268978590597458,0.8043273412844969,0.7908392519393231,6.3683991891263165,63.333333333333336,62.888888888888886,0.9,0.23333333333333334,0.0
recommended,weekly_recommendation,Week2_28July,2,Spotify,User10,10,Week2-User10,30,30,16435.0,216700.5,444250.3,3096823.0,5.3328887913284015,5.316659599181943,0.8547494526702666,0.838520260523809,7.201505433518328,65.0,63.55555555555556,0.9,0.26666666666666666,0.0
baseline,final_balanced_playlist,FinalBalanced,0,Youtube,FinalBalanced,0,final_balanced_playlist,30,30,242.0,65199.0,1930104.1333333333,14385630.0,4.814219747922499,4.897415559201386,-4.440892098500626e-16,0.0831958112788875,1.0,50.0,50.0,0.5,0.3333333333333333,0.0
recommended,weekly_recommendation,Week1_21July,1,Youtube,User1,1,Discover Mix,30,30,4617.0,677129.5,2965356.033333333,21462837.0,5.827748826613735,5.812185432748856,1.0135290786912368,0.9979656848263567,10.385581067194282,66.66666666666667,68.8888888888889,0.9333333333333333,0.3,0.06666666666666667
recommended,weekly_recommendation,Week1_21July,1,Youtube,User2,2,Discover Mix,30,30,20200.0,777935.0,35732222.666666664,840015371.0,5.88763333499101,6.133585345023138,1.073413587068511,1.3193655971006382,11.93170140646329,66.66666666666667,73.55555555555556,0.9333333333333333,0.43333333333333335,0.2
recommended,weekly_recommendation,Week1_21July,1,Youtube,User3,3,Discover Mix,30,30,1706.0,452956.5,34613443.666666664,840021427.0,5.652250095703776,5.813611156837847,0.8380303477812769,0.9993914089153481,6.94729213638246,66.66666666666667,67.00000000000001,0.9333333333333333,0.26666666666666666,0.13333333333333333
recommended,weekly_recommendation,Week1_21July,1,Youtube,User4,4,Discover Mix,30,30,19179.0,1231020.0,31010452.633333333,713107535.0,6.088928200155425,6.233809968656448,1.2747084522329262,1.4195902207339501,18.880964431969815,68.33333333333334,75.55555555555556,0.9333333333333333,0.5,0.2
recommended,weekly_recommendation,Week1_21July,1,Youtube,User5,5,Discover Mix,30,30,27669.0,417200.0,6056082.5,164450699.0,5.619629724087201,5.605531230716677,0.8054099761647016,0.7913114827941781,6.398871148330496,66.66666666666667,63.8888888888889,0.9333333333333333,0.16666666666666666,0.03333333333333333
recommended,weekly_recommendation,Week1_21July,1,Youtube,User6,6,Discover Mix,30,30,19179.0,489508.5,1949771.7333333334,12474432.0,5.689063460513669,5.7324969579348215,0.8748437125911703,0.9182772100123232,7.507914231813372,66.66666666666667,66.44444444444444,0.9,0.3333333333333333,0.0
recommended,weekly_recommendation,Week1_21July,1,Youtube,User7,7,Discover Mix,30,30,18144.0,9873210.0,150828710.86666667,1858628149.0,6.8557280527968985,6.733939764378974,2.0415083048744,1.9197200164564756,151.4319238025123,88.33333333333334,80.66666666666667,0.9333333333333333,0.6333333333333333,0.5
recommended,weekly_recommendation,Week1_21July,1,Youtube,User8,8,Discover Mix,30,30,5805.0,785157.5,28832114.933333334,511860368.0,5.887754804551416,5.982010857582106,1.0735350566289172,1.167791109659607,12.04247764536266,66.66666666666667,69.77777777777779,0.8,0.4666666666666667,0.16666666666666666
