source_type,playlist_kind,week_folder,week_number,platform,user_folder,user_number,playlist_file,playlist_name,playlist_id,playlist_url,playlist_position,track_id,track_url,track_name,artist_name,primary_artist_id,album_name,release_date,duration_seconds,explicit,popularity_metric,popularity_value,popularity_display,popularity_log10,selection_tier,baseline_empirical_percentile,baseline_empirical_band,baseline_range_band,baseline_median_value,baseline_median_log10,ratio_vs_baseline_median,log10_delta_vs_baseline_median,style,country,expected_year,secondary_metric,secondary_value,secondary_display,available_country_count,video_or_track_type,captured_at_utc,source_account_or_profile,metadata_error
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,21,7yqjpBncd99OTk5EMWGUBT,https://open.spotify.com/track/7yqjpBncd99OTk5EMWGUBT,United,LORD,,,2019,,,spotify_artist_monthly_listeners,3073,3073,3.4875625602563782,Low,28.333333333333332,bottom_third_vs_final_balanced,within_final_balanced_low_range,30091.0,4.478139338658135,0.10212355853909807,-0.9905767784017567,power metal,Australia,2019,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,22,3Idf8blFXZHb9cDAh5GH69,https://open.spotify.com/track/3Idf8blFXZHb9cDAh5GH69,Alone in Paradise,Concerto Moon,,,2017,,,spotify_artist_monthly_listeners,2218,2218,3.3459615418131414,Low,25.0,bottom_third_vs_final_balanced,within_final_balanced_low_range,30091.0,4.478139338658135,0.07370974710046194,-1.1321777968449935,power metal,Japan,2017,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,23,7LSn5it9bQhJqyfEq1PM3l,https://open.spotify.com/track/7LSn5it9bQhJqyfEq1PM3l,Wolf Totem,The HU,,,2018,,,spotify_artist_monthly_listeners,1657676,1657676,6.219499649759146,High,85.0,top_third_vs_final_balanced,within_final_balanced_high_range,30091.0,4.478139338658135,55.08876408228374,1.741360311101011,heavy metal,Mongolia,2018,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,24,3TjQAc2PzWzlSDrnq61J1y,https://open.spotify.com/track/3TjQAc2PzWzlSDrnq61J1y,The Devil's Bleeding Crown,Volbeat,,,2016,,,spotify_artist_monthly_listeners,4886124,4886124,6.688964484297757,High,95.0,top_third_vs_final_balanced,within_final_balanced_high_range,30091.0,4.478139338658135,162.37825263367785,2.210825145639622,heavy metal,Denmark,2016,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,25,39m87lOMd5ccENPVvAT7gH,https://open.spotify.com/track/39m87lOMd5ccENPVvAT7gH,Bismarck,Sabaton,,,2019,,,spotify_artist_monthly_listeners,3239085,3239085,6.510422344906316,High,91.66666666666667,top_third_vs_final_balanced,within_final_balanced_high_range,30091.0,4.478139338658135,107.64298295171314,2.032283006248181,power metal,Sweden,2019,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,26,7iOSeHfKU2EhSKcX7TbjKG,https://open.spotify.com/track/7iOSeHfKU2EhSKcX7TbjKG,Blind and Frozen,Beast in Black,,,2017,,,spotify_artist_monthly_listeners,1271062,1271062,6.104166735133994,High,78.33333333333333,top_third_vs_final_balanced,within_final_balanced_high_range,30091.0,4.478139338658135,42.24060350270845,1.626027396475859,power metal,Finland,2017,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,27,3crIa21lfjekujCQuGjlJT,https://open.spotify.com/track/3crIa21lfjekujCQuGjlJT,Teutonic Terror,Accept,,,2010,,,spotify_artist_monthly_listeners,1213609,1213609,6.084078788473997,High,75.0,top_third_vs_final_balanced,within_final_balanced_high_range,30091.0,4.478139338658135,40.3312950716161,1.6059394498158621,heavy metal,Germany,2010,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,28,3JjZq20Kv6UphyyirAaY9A,https://open.spotify.com/track/3JjZq20Kv6UphyyirAaY9A,Moth Into Flame,Metallica,,,2016,,,spotify_artist_monthly_listeners,32848505,32848505,7.516515608750442,High,98.33333333333333,top_third_vs_final_balanced,within_final_balanced_high_range,30091.0,4.478139338658135,1091.6388621182414,3.038376270092307,heavy metal,United States,2016,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,29,45W8En2qul3ljQKzIbsyT4,https://open.spotify.com/track/45W8En2qul3ljQKzIbsyT4,Cry Thunder,DragonForce,,,2012,,,spotify_artist_monthly_listeners,1856073,1856073,6.268595053172561,High,88.33333333333333,top_third_vs_final_balanced,within_final_balanced_high_range,30091.0,4.478139338658135,61.68199793958326,1.790455714514426,power metal,United Kingdom,2012,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Spotify,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,30,4qxK1lnNoYm1kevG69mhHU,https://open.spotify.com/track/4qxK1lnNoYm1kevG69mhHU,Drunken Dwarves,Wind Rose,,,2019,,,spotify_artist_monthly_listeners,723787,723787,5.859610778442025,High,71.66666666666667,top_third_vs_final_balanced,within_final_balanced_high_range,30091.0,4.478139338658135,24.053271742381444,1.3814714397838896,power metal,Italy,2019,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Youtube,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,1,zip1C800tdU,https://music.youtube.com/watch?v=zip1C800tdU,Combat Metal,Fireforce,,,2014,,,youtube_video_view_count,23220,23220,4.365862215402555,Middle,35.0,middle_third_vs_final_balanced,within_final_balanced_middle_range,65199.0,4.814219747922499,0.35614043160171166,-0.44835753251994337,heavy metal,Belgium,2014,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Youtube,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,2,BHfVbP9rjnE,https://music.youtube.com/watch?v=BHfVbP9rjnE,Starbreaker,Traveler,,,2019,,,youtube_video_view_count,31916,31916,4.5040084564010465,Middle,41.666666666666664,middle_third_vs_final_balanced,within_final_balanced_middle_range,65199.0,4.814219747922499,0.4895167103789935,-0.3102112915214521,heavy metal,Canada,2019,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Youtube,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,3,mbrjS9BqzGw,https://music.youtube.com/watch?v=mbrjS9BqzGw,Messager - 2021,Sortilège,,,2021,,,youtube_video_view_count,4487,4487,3.651956069533074,Low,28.333333333333332,bottom_third_vs_final_balanced,within_final_balanced_low_range,65199.0,4.814219747922499,0.06882007392751423,-1.1622636783894245,heavy metal,France,2021,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Youtube,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,4,qmnQfohX2vc,https://music.youtube.com/watch?v=qmnQfohX2vc,World on Fire,Firewind,,,2010,,,youtube_video_view_count,7505,7505,3.875350696579289,Low,31.666666666666668,bottom_third_vs_final_balanced,within_final_balanced_low_range,65199.0,4.814219747922499,0.11510912744060492,-0.9388690513432096,power metal,Greece,2010,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Youtube,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,5,MuAMjthSJm0,https://music.youtube.com/watch?v=MuAMjthSJm0,Rome Is Falling,Civil War,,,2012,,,youtube_video_view_count,1392219,1392219,6.143707556402826,High,71.66666666666667,top_third_vs_final_balanced,within_final_balanced_high_range,65199.0,4.814219747922499,21.353379653062163,1.3294878084803274,power metal,Sweden,2012,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Youtube,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,6,Smk-Vsb9AOk,https://music.youtube.com/watch?v=Smk-Vsb9AOk,Geçmişin Yükü,Pentagram,,,2012,,,youtube_video_view_count,1223810,1223810,6.087713997583522,High,68.33333333333333,top_third_vs_final_balanced,within_final_balanced_high_range,65199.0,4.814219747922499,18.77037991380236,1.2734942496610238,heavy metal,Turkey,2012,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Youtube,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,7,BESgqzL8ijE,https://music.youtube.com/watch?v=BESgqzL8ijE,Skyfall,Helloween,,,2021,,,youtube_video_view_count,173407,173407,5.239066624858834,Middle,61.666666666666664,middle_third_vs_final_balanced,within_final_balanced_middle_range,65199.0,4.814219747922499,2.659657356707925,0.4248468769363356,power metal,Germany,2021,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
baseline,final_balanced_playlist,FinalBalanced,0,Youtube,FinalBalanced,0,experiment_setup/final_balanced_playlist.csv,final_balanced_playlist,,,8,zJ8FuN2OXHI,https://music.youtube.com/watch?v=zJ8FuN2OXHI,Thunderbolt,Saxon,,,2018,,,youtube_video_view_count,65843,65843,4.818509610384099,Middle,51.666666666666664,middle_third_vs_final_balanced,within_final_balanced_middle_range,65199.0,4.814219747922499,1.0098774521081613,0.004289862461600791,heavy metal,United Kingdom,2018,,,,,,2026-06-29T19:38:38+00:00,experiment_setup,
