candidate_id,artist,title,country,expected_year,style,spotify_track_id,spotify_url,spotify_isrc,spotify_metric,spotify_metric_value,artist_monthly_listeners,artist_monthly_listeners_captured_at,stream_count,spotify_percentile,spotify_tier,youtube_video_id,youtube_url,view_count,youtube_percentile,youtube_tier,selection_note
M046,Orphaned Land,Like Orpheus,Israel,2018,heavy metal,2xT6dOB9HTQgP4WoR5ByI2,https://open.spotify.com/track/2xT6dOB9HTQgP4WoR5ByI2,US4E41848607,artist_monthly_listeners,28978,28978,2026-06-29T19:38:38+00:00,,50.00,Middle,3G3hBjV6R60,https://music.youtube.com/watch?v=3G3hBjV6R60,129774,57.23,Middle,
M006,Visigoth,Warrior Queen,United States,2015,heavy metal,6bzEx9m1sOsY2WgAjPjcVX,https://open.spotify.com/track/6bzEx9m1sOsY2WgAjPjcVX,USMBR1812841,artist_monthly_listeners,24956,24956,2026-06-29T19:38:38+00:00,,46.39,Middle,AW3lGArBDMs,https://music.youtube.com/watch?v=AW3lGArBDMs,161571,58.43,Middle,
M032,Vision Divine,Angel of Revenge,Italy,2018,power metal,4ktpjpQSF5GeX03fzd06EJ,https://open.spotify.com/track/4ktpjpQSF5GeX03fzd06EJ,DEAR41838004,artist_monthly_listeners,25610,25610,2026-06-29T19:38:38+00:00,,47.59,Middle,183PB-W2FB4,https://music.youtube.com/watch?v=183PB-W2FB4,203378,60.84,Middle,
M084,Exlibris,Hellphoria,Poland,2013,power metal,4ZCE9a3407wu9FG2i8baFE,https://open.spotify.com/track/4ZCE9a3407wu9FG2i8baFE,PLA641308724,artist_monthly_listeners,742,742,2026-06-29T19:38:38+00:00,,10.24,Low,IVSlnryCW7s,https://music.youtube.com/watch?v=IVSlnryCW7s,1423,10.24,Low,
M045,Carthagods,The Devil's Doll,Tunisia,2015,heavy metal,5aI2EF6gFKSdqW1bEHQFcb,https://open.spotify.com/track/5aI2EF6gFKSdqW1bEHQFcb,usl4r1823032,artist_monthly_listeners,640,640,2026-06-29T19:38:38+00:00,,9.04,Low,FnGWUPTT9vk,https://music.youtube.com/watch?v=FnGWUPTT9vk,1797,13.86,Low,
M074,Skinflint,Flesh Potion,Botswana,2022,heavy metal,5Hx4kJ8V59tGFotZHYW9Vy,https://open.spotify.com/track/5Hx4kJ8V59tGFotZHYW9Vy,TCAGX2337229,artist_monthly_listeners,385,385,2026-06-29T19:38:38+00:00,,5.42,Low,Lm9xUURZJ6k,https://music.youtube.com/watch?v=Lm9xUURZJ6k,863,7.83,Low,
M080,Arrayan Path,Stigmata,Cyprus,2018,power metal,1YpY2YfPHkbXCA1kaccmoF,https://open.spotify.com/track/1YpY2YfPHkbXCA1kaccmoF,CYA081302305,artist_monthly_listeners,522,522,2026-06-29T19:38:38+00:00,,7.83,Low,CxTRjHDxL4w,https://music.youtube.com/watch?v=CxTRjHDxL4w,1955,15.06,Low,
M081,Eagleheart,Reverse,Czech Republic,2017,power metal,6s5DxrVYsqh50hN2adnj0m,https://open.spotify.com/track/6s5DxrVYsqh50hN2adnj0m,ITD291701568,artist_monthly_listeners,297,297,2026-06-29T19:38:38+00:00,,3.01,Low,U20b7be3zO8,https://music.youtube.com/watch?v=U20b7be3zO8,1241,9.04,Low,
M065,Attick Demons,City of Golden Gates,Portugal,2016,heavy metal,6BZwg1KPw2Rl0sSzE8yGNc,https://open.spotify.com/track/6BZwg1KPw2Rl0sSzE8yGNc,DEZ902000395,artist_monthly_listeners,835,835,2026-06-29T19:38:38+00:00,,11.45,Low,DAV2A8R2x1w,https://music.youtube.com/watch?v=DAV2A8R2x1w,2445,17.47,Low,
M050,LORD,United,Australia,2019,power metal,7yqjpBncd99OTk5EMWGUBT,https://open.spotify.com/track/7yqjpBncd99OTk5EMWGUBT,AUDI31900001,artist_monthly_listeners,3073,3073,2026-06-29T19:38:38+00:00,,16.27,Low,p3syPBCnQ3w,https://music.youtube.com/watch?v=p3syPBCnQ3w,1594,12.65,Low,
M038,Concerto Moon,Alone in Paradise,Japan,2017,power metal,3Idf8blFXZHb9cDAh5GH69,https://open.spotify.com/track/3Idf8blFXZHb9cDAh5GH69,JPB621900487,artist_monthly_listeners,2218,2218,2026-06-29T19:38:38+00:00,,15.06,Low,IsRd3kIThAo,https://music.youtube.com/watch?v=IsRd3kIThAo,242,3.01,Low,
M047,The HU,Wolf Totem,Mongolia,2018,heavy metal,7LSn5it9bQhJqyfEq1PM3l,https://open.spotify.com/track/7LSn5it9bQhJqyfEq1PM3l,TCADY1880557,artist_monthly_listeners,1657676,1657676,2026-06-29T19:38:38+00:00,,89.76,High,jpsUPdNthGY,https://music.youtube.com/watch?v=jpsUPdNthGY,4761121,88.55,High,
M058,Volbeat,The Devil's Bleeding Crown,Denmark,2016,heavy metal,3TjQAc2PzWzlSDrnq61J1y,https://open.spotify.com/track/3TjQAc2PzWzlSDrnq61J1y,DKNE11600101,artist_monthly_listeners,4886124,4886124,2026-06-29T19:38:38+00:00,,94.58,High,5dqummhs3S8,https://music.youtube.com/watch?v=5dqummhs3S8,5343528,89.76,High,
M019,Sabaton,Bismarck,Sweden,2019,power metal,39m87lOMd5ccENPVvAT7gH,https://open.spotify.com/track/39m87lOMd5ccENPVvAT7gH,SE6HE1900101,artist_monthly_listeners,3239085,3239085,2026-06-29T19:38:38+00:00,,92.17,High,ERj08qJ2FAU,https://music.youtube.com/watch?v=ERj08qJ2FAU,14176293,93.37,High,
M025,Beast in Black,Blind and Frozen,Finland,2017,power metal,7iOSeHfKU2EhSKcX7TbjKG,https://open.spotify.com/track/7iOSeHfKU2EhSKcX7TbjKG,DED831701293,artist_monthly_listeners,1271062,1271062,2026-06-29T19:38:38+00:00,,87.35,High,IVKByFMQHss,https://music.youtube.com/watch?v=IVKByFMQHss,14385630,94.58,High,
M011,Accept,Teutonic Terror,Germany,2010,heavy metal,3crIa21lfjekujCQuGjlJT,https://open.spotify.com/track/3crIa21lfjekujCQuGjlJT,DED831000251,artist_monthly_listeners,1213609,1213609,2026-06-29T19:38:38+00:00,,86.14,High,ral4hAS5dVk,https://music.youtube.com/watch?v=ral4hAS5dVk,3933340,86.14,High,
M001,Metallica,Moth Into Flame,United States,2016,heavy metal,3JjZq20Kv6UphyyirAaY9A,https://open.spotify.com/track/3JjZq20Kv6UphyyirAaY9A,QMKHM1600380,artist_monthly_listeners,32848505,32848505,2026-06-29T19:38:38+00:00,,99.40,High,BtRyz1qGI8c,https://music.youtube.com/watch?v=BtRyz1qGI8c,5386594,90.96,High,
M018,DragonForce,Cry Thunder,United Kingdom,2012,power metal,45W8En2qul3ljQKzIbsyT4,https://open.spotify.com/track/45W8En2qul3ljQKzIbsyT4,DEH841500444,artist_monthly_listeners,1856073,1856073,2026-06-29T19:38:38+00:00,,90.96,High,20vgg_WoTz4,https://music.youtube.com/watch?v=20vgg_WoTz4,1631618,78.92,High,
M030,Wind Rose,Drunken Dwarves,Italy,2019,power metal,4qxK1lnNoYm1kevG69mhHU,https://open.spotify.com/track/4qxK1lnNoYm1kevG69mhHU,ATN261985903,artist_monthly_listeners,723787,723787,2026-06-29T19:38:38+00:00,,80.12,High,oPQAfz1GulI,https://music.youtube.com/watch?v=oPQAfz1GulI,4712660,87.35,High,
