candidate_id,artist,title,country,expected_year,style,youtube_artist_name,youtube_video_id,youtube_url,youtube_title,youtube_artists,youtube_album,youtube_album_year,youtube_video_type,view_count,like_count,comment_count,published_at,data_source,captured_at_utc,validation_status,validation_notes,youtube_percentile,youtube_tier
M040,WarCry,Huelo el Miedo,Spain,2011,power metal,,5cTkn45LhzM,https://music.youtube.com/watch?v=5cTkn45LhzM,Huelo el Miedo,Warcry,Inmortal,2013,MUSIC_VIDEO_TYPE_ATV,2380848,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,82.53,High
M041,Firewind,World on Fire,Greece,2010,power metal,,qmnQfohX2vc,https://music.youtube.com/watch?v=qmnQfohX2vc,World On Fire,Firewind,World On Fire,2010,MUSIC_VIDEO_TYPE_ATV,7505,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,24.70,Low
M042,Warrior Path,The Mad King,Greece,2021,heavy metal,,92bZxCjwM8o,https://music.youtube.com/watch?v=92bZxCjwM8o,The Mad King,Warrior Path,The Mad King,2021,MUSIC_VIDEO_TYPE_ATV,18369,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,36.75,Buffer
M043,The Silent Rage,The Deadliest Scourge,Greece,2016,power metal,,LixWA9Q7pNQ,https://music.youtube.com/watch?v=LixWA9Q7pNQ,The Deadliest Scourge,The Silent Rage,The Deadliest Scourge,2016,MUSIC_VIDEO_TYPE_ATV,540,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,6.63,Low
M044,Myrath,Believer,Tunisia,2016,power metal,,k_U6exg_7Rk,https://music.youtube.com/watch?v=k_U6exg_7Rk,Believer,Myrath,Legacy,2016,MUSIC_VIDEO_TYPE_ATV,556766,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,70.48,Buffer
M045,Carthagods,The Devil's Doll,Tunisia,2015,heavy metal,,FnGWUPTT9vk,https://music.youtube.com/watch?v=FnGWUPTT9vk,The Devil's Doll,Carthagods,The Devil's Doll,2018,MUSIC_VIDEO_TYPE_ATV,1797,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,13.86,Low
M046,Orphaned Land,Like Orpheus,Israel,2018,heavy metal,,3G3hBjV6R60,https://music.youtube.com/watch?v=3G3hBjV6R60,Like Orpheus,Orphaned Land,Unsung Prophets And Dead Messiahs,2018,MUSIC_VIDEO_TYPE_ATV,129774,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,57.23,Middle
M047,The HU,Wolf Totem,Mongolia,2018,heavy metal,,jpsUPdNthGY,https://music.youtube.com/watch?v=jpsUPdNthGY,Wolf Totem,The HU,The Gereg (Deluxe Edition),2020,MUSIC_VIDEO_TYPE_ATV,4761121,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,88.55,High
M048,Against Evil,The Sound of Violence,India,2021,heavy metal,,QmnHuQ9peZM,https://music.youtube.com/watch?v=QmnHuQ9peZM,The Sound of Violence,Against Evil,End of the Line,2021,MUSIC_VIDEO_TYPE_ATV,4548,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,22.29,Low
M049,Kryptos,Full Throttle,India,2019,heavy metal,,BWIuhbckB_I,https://music.youtube.com/watch?v=BWIuhbckB_I,Full Throttle,Kryptos,Burn up the Night,2014,MUSIC_VIDEO_TYPE_ATV,33414,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,47.59,Middle
M050,LORD,United,Australia,2019,power metal,,p3syPBCnQ3w,https://music.youtube.com/watch?v=p3syPBCnQ3w,United,Lord,United,2019,MUSIC_VIDEO_TYPE_ATV,1594,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,12.65,Low
M051,Black Majesty,Children of the Abyss,Australia,2018,power metal,,T8K-pqAWMos,https://music.youtube.com/watch?v=T8K-pqAWMos,Children of the Abyss,Black Majesty,Children of the Abyss,2018,MUSIC_VIDEO_TYPE_ATV,2378,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,16.27,Low
M052,Elm Street,Heart Racer,Australia,2016,heavy metal,,z6bn3c2mSlI,https://music.youtube.com/watch?v=z6bn3c2mSlI,Heart Racer,Elm Street,Heart Racer,2015,MUSIC_VIDEO_TYPE_ATV,2512,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,18.67,Low
M053,Striker,Born to Lose,Canada,2018,heavy metal,,BibO80sOp-s,https://music.youtube.com/watch?v=BibO80sOp-s,Born to Lose,Striker,Striker,2017,MUSIC_VIDEO_TYPE_ATV,15833,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,34.34,Buffer
M054,Skull Fist,Better Late Than Never,Canada,2018,heavy metal,,8EELvJAEmIc,https://music.youtube.com/watch?v=8EELvJAEmIc,Better Late Than Never,Skull Fist,Way of the Road,2018,MUSIC_VIDEO_TYPE_ATV,29668,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,45.18,Middle
M055,Traveler,Starbreaker,Canada,2019,heavy metal,,BHfVbP9rjnE,https://music.youtube.com/watch?v=BHfVbP9rjnE,Starbreaker,Traveler,Traveler,2019,MUSIC_VIDEO_TYPE_ATV,31916,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,46.39,Middle
M056,Jorn,Life on Death Road,Norway,2017,heavy metal,,lnxBmVFFO6g,https://music.youtube.com/watch?v=lnxBmVFFO6g,Life on Death Road,Jorn,Life on Death Road,2017,MUSIC_VIDEO_TYPE_ATV,22832,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,41.57,Middle
M057,Communic,The Bottom Deep,Norway,2011,heavy metal,,IlZjXlhAXOQ,https://music.youtube.com/watch?v=IlZjXlhAXOQ,The Bottom Deep,Communic,The Bottom Deep,2011,MUSIC_VIDEO_TYPE_ATV,3047,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,19.88,Low
M058,Volbeat,The Devil's Bleeding Crown,Denmark,2016,heavy metal,,5dqummhs3S8,https://music.youtube.com/watch?v=5dqummhs3S8,The Devil's Bleeding Crown,Volbeat,Seal The Deal & Let's Boogie (Deluxe),2016,MUSIC_VIDEO_TYPE_ATV,5343528,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,89.76,High
M059,Iron Fire,Among the Dead,Denmark,2016,power metal,,VnNgx3aIOtM,https://music.youtube.com/watch?v=VnNgx3aIOtM,Among the Dead,Iron Fire,Among the Dead,2016,MUSIC_VIDEO_TYPE_ATV,13998,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,31.93,Buffer
M060,Pyramaze,Disciples of the Sun,Denmark,2015,power metal,,TeIgtmGKtzY,https://music.youtube.com/watch?v=TeIgtmGKtzY,Disciples of the Sun,Pyramaze,Disciples of the Sun,2015,MUSIC_VIDEO_TYPE_ATV,64555,,,,ytmusicapi player response,2026-06-29T19:44:09+00:00,OK,,51.20,Middle
